epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,155.242,0.80752,0.80895,1,0.45456,0.000474556,0.000474556,0.000474556
2,296.11,0.55328,0.84061,1,0.39077,0.000941475,0.000941475,0.000941475
3,451.926,0.46591,0.81332,1,0.53294,0.00139896,0.00139896,0.00139896
4,603.609,0.44701,0.83297,1,0.40361,0.00138656,0.00138656,0.00138656
5,748.385,0.39967,0.91048,1,0.23979,0.00137241,0.00137241,0.00137241
6,880.07,0.34052,0.90066,1,0.23831,0.00135826,0.00135826,0.00135826
7,1011.14,0.3199,0.91812,1,0.21901,0.00134412,0.00134412,0.00134412
8,1146.31,0.27717,0.92358,1,0.21971,0.00132997,0.00132997,0.00132997
9,1327.86,0.24646,0.94105,1,0.14183,0.00131582,0.00131582,0.00131582
10,1536.32,0.22283,0.93341,1,0.17433,0.00130168,0.00130168,0.00130168
11,1744.1,0.23487,0.92686,1,0.18199,0.00128753,0.00128753,0.00128753
12,1952.92,0.19574,0.93559,1,0.20651,0.00127338,0.00127338,0.00127338
13,2160.14,0.19097,0.93886,1,0.17558,0.00125923,0.00125923,0.00125923
14,2385.22,0.19893,0.94105,1,0.15238,0.00124509,0.00124509,0.00124509
15,2595.95,0.1684,0.95415,1,0.15766,0.00123094,0.00123094,0.00123094
16,2808.87,0.1691,0.95197,1,0.15349,0.00121679,0.00121679,0.00121679
17,3027.21,0.16743,0.94869,1,0.20025,0.00120265,0.00120265,0.00120265
18,3242.33,0.15705,0.95742,1,0.15659,0.0011885,0.0011885,0.0011885
19,3464.36,0.13616,0.93231,1,0.20371,0.00117435,0.00117435,0.00117435
20,3682.78,0.11495,0.95415,1,0.19537,0.00116021,0.00116021,0.00116021
21,3902.98,0.13609,0.94541,1,0.201,0.00114606,0.00114606,0.00114606
22,5534.75,0.12311,0.94214,1,0.19991,0.00113191,0.00113191,0.00113191
23,5729.85,0.1014,0.95961,1,0.17689,0.00111776,0.00111776,0.00111776
24,5924.68,0.0949,0.95087,1,0.15797,0.00110362,0.00110362,0.00110362
25,6109.45,0.12402,0.94869,1,0.19864,0.00108947,0.00108947,0.00108947
26,6288.41,0.13518,0.93559,1,0.19256,0.00107532,0.00107532,0.00107532
27,6467.46,0.10009,0.95197,1,0.1951,0.00106118,0.00106118,0.00106118
28,6653.43,0.08893,0.95852,1,0.16605,0.00104703,0.00104703,0.00104703
29,6836.53,0.08696,0.95524,1,0.21648,0.00103288,0.00103288,0.00103288
30,7006.98,0.08371,0.95197,1,0.1838,0.00101873,0.00101873,0.00101873
31,7189.48,0.07501,0.95852,1,0.16481,0.00100459,0.00100459,0.00100459
32,7397.5,0.08007,0.9607,1,0.17523,0.00099044,0.00099044,0.00099044
33,7596.6,0.06972,0.96834,1,0.14686,0.000976293,0.000976293,0.000976293
34,7769.9,0.06774,0.96507,1,0.15338,0.000962146,0.000962146,0.000962146
35,7938,0.08094,0.96179,1,0.17329,0.000947999,0.000947999,0.000947999
36,8107.93,0.08906,0.95633,1,0.18698,0.000933851,0.000933851,0.000933851
37,8280.26,0.09318,0.95087,1,0.22796,0.000919704,0.000919704,0.000919704
38,8451.12,0.08318,0.95742,1,0.1991,0.000905557,0.000905557,0.000905557
39,8627.93,0.07753,0.95961,1,0.18991,0.00089141,0.00089141,0.00089141
40,8800.45,0.05178,0.9607,1,0.18195,0.000877263,0.000877263,0.000877263
41,8971.31,0.06566,0.96943,1,0.16564,0.000863116,0.000863116,0.000863116
42,9148.25,0.05284,0.95524,1,0.21456,0.000848969,0.000848969,0.000848969
